Ticker,Market Cap(M),Avg Volume(SGD),,,,,,
OU8,357.331,91343.975,,Lodging,,4.72,357.331M,
42T,81.609,28166.705,,,,,,
U77,87.018,24267.36,,,,,,
BN4,12724,24203243.4,,?Industrials,,15.49,12.92B,Keppel Ltd.?
DCRU,781.836,1941186.31,,Real Estate,,,742.416M,
1H3,6.81,23365.309,,,,,,
G07,8747,341322.8,,Financial Services,,8.72,8.704B,
BEZ,14.941,307188.964,,,,,,
XZL,158.637,61667.375,,,,,,
AW9U,520.375,269223.64,,Real Estate,,12,499.56M,
D03,211.892,23476.172,,,,,,
E5H,3424,3007975.23,,Farm Products,,4.5,3.424B,Golden Agri-Resources Ltd
QES,379.189,40083.6,,,,,,
B26,37.183,10777.62,,,,,,
5WA,131.532,10230.011,,,,,,
1D0,385.057,61089.22,,Restaurants,,10.33,385.057M,
9QX,6.986,20326.788,,,,,,
595,50.383,37801.92,,,,,,
S41,1112,136728.39,,Financial Services,,11.81,,
IX2,149.98,12997.775,,Oil & Gas Equipment & Services,,19.5,,
T13,130.288,582004.554,,,,,,
J2T,153.631,27728.7,,Engineering & Construction,,10.83,,
U14,4757,19808577.6,,,,,,
M44U,7283,22932944.16,,Real Estate,,13.09,,
O10,487.757,108903,,Real Estate,,20,,
5UX,382.041,25305.28,,,,,,
YF8,1133,1709018.56,,Asset Management,,6.4,,
NO4,336.999,2574618.475,,Engineering & Construction,,17.75,,
S08,866.231,670156.025,,Integrated Freight & Logistics,,19,,Singapore Post Limited
Z74,39278,59341039.8,,Communication Services,,13.05,,Singapore Telecommunications Limited
CY6U,1379,2535228.36,,Real Estate,,10.4,,CapitaLand India Trust
BBW,246,25338,,,,,,
E3B,164.545,30749.547,,,,,,
J69U,3954,7552591.2,,Real Estate,,18.7,,Frasers Centrepoint Trust
BHU,59.931,31291.485,,Consumer Cyclical,,6.8,,
OXMU,170.074,842160.64,,,,,,
1F3,43.331,167620.88,,,,,,
HMN,3398,6138818.1,,Real Estate,,12.93,,CapitaLand Ascott Trust
5JS,390.852,10915.24,,,,,,
A50,1375,214348.992,,,,,,
D5IU,107.755,39256.798,,,,,,
C8R,47.723,157769.45,,,,,,
U13,367.542,13481.52,,,,,,
Z25,927.139,1062914.4,,,,,,
AIY,2034,4261994.98,,,,,,
1D1,188.34,16650.19,,,,,,
CGN,769.864,465683.16,,,,,,
Q01,480.349,43337.335,,,,,,
C52,2924,6482070.9,,,,,,
C6L,18857,38896780.12,,,,,,
F99,1514,68650.05,,,,,,
M14,102.931,27182.76,,,,,,
N02,263.358,13177.155,,,,,,
8AZ,787.392,1163105.9,,,,,,
CWBU,747.981,791221.76,,,,,,
5DP,126.746,25490.14,,,,,,
41O,136.997,163944.94,,,,,,
BLS,149.845,28603.83,,,,,,
U06,2579,57632.48,,,,,,
CMOU,144.134,724146.824,,,,,,
Y92,12313,14891410.5,,,,,,
F34,20976,20736957.8,,,,,,
PGS,151.99,46476.86,,,,,,
CHZ,713.846,51485.15,,,,,,
BKA,56.539,15975.24,,,,,,
8K7,72.364,447574.351,,,,,,
Z4D,1.616,11741.136,,,,,,
42W,30.444,21541.716,,,,,,
Y45,20.491,355926.19,,,,,,
5NF,14.139,38005.08,,,,,,
J36,11301,11169671.72,,,,,,
CHJ,60.522,23775.84,,,,,,
BCY,104.86,10200,,,,,,
S58,3831,11321999.36,,,,,,
DHLU,417.64,336534.6,,,,,,
F13,92.963,41462.252,,,,,,
M15,7.596,66313.896,,,,,,
A04,37.963,18329.856,,,,,,
BS6,7467,31232464.05,,,,,,
5CF,79.81,20998.9,,,,,,
V03,4089,12375540.31,,,,,,
F03,744.452,1272849.66,,,,,,
DU4,132.853,281515.618,,,,,,
QS9,15.213,236728.71,,,,,,
CLN,147.407,29714.75,,,,,,
G13,10865,24754747.36,,,,,,
P52,317.333,126578.2,,,,,,
5NV,40.251,1248912.67,,,,,,
H78,7039,6077726.27,,,,,,
G50,64.622,26091.1,,,,,,
R14,18.503,26532.927,,,,,,
OMK,10.031,10235.706,,,,,,
BDR,44.249,24052.045,,,,,,
P8Z,1110,208737.48,,,,,,
NHD,15.646,36344.55,,,,,,
MZH,484.937,3590265.4,,,,,,
U11,47146,71650902.2,,,,,,
BN2,238.178,387003.26,,,,,,
J85,1207,2140290.45,,,,,,
H15,1856,27554.4,,,,,,
F17,1692,69300.66,,,,,,
S35,236.439,19924,,,,,,
