Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-02 00:00:00+08:00,16.340000,16.340000,16.340000,16.340000,0,0.000000,0.000000,0.000000
2024-01-03 00:00:00+08:00,16.209999,16.209999,16.209999,16.209999,0,0.000000,0.000000,0.000000
2024-01-04 00:00:00+08:00,16.150000,16.309999,16.150000,16.459999,398,0.000000,0.000000,0.000000
2024-01-05 00:00:00+08:00,16.510000,16.510000,16.510000,16.510000,0,0.000000,0.000000,0.000000
2024-01-08 00:00:00+08:00,16.350000,16.350000,16.350000,16.350000,0,0.000000,0.000000,0.000000
2024-01-09 00:00:00+08:00,16.350000,16.350000,16.350000,16.330000,30,0.000000,0.000000,0.000000
2024-01-10 00:00:00+08:00,16.410000,16.410000,16.410000,16.330000,1000,0.000000,0.000000,0.000000
2024-01-11 00:00:00+08:00,16.450001,16.450001,16.450001,16.450001,0,0.000000,0.000000,0.000000
2024-01-12 00:00:00+08:00,16.480000,16.480000,16.389999,16.500000,3900,0.000000,0.000000,0.000000
2024-01-15 00:00:00+08:00,16.520000,16.520000,16.520000,16.520000,0,0.000000,0.000000,0.000000
2024-01-16 00:00:00+08:00,16.490000,16.490000,16.490000,16.490000,0,0.000000,0.000000,0.000000
2024-01-17 00:00:00+08:00,16.320000,16.320000,16.320000,16.320000,0,0.000000,0.000000,0.000000
2024-01-19 00:00:00+08:00,16.240000,16.240000,16.240000,16.240000,0,0.000000,0.000000,0.000000
2024-01-22 00:00:00+08:00,16.120001,16.120001,16.120001,16.120001,0,0.000000,0.000000,0.000000
2024-01-23 00:00:00+08:00,16.049999,16.049999,16.049999,16.049999,0,0.000000,0.000000,0.000000
2024-01-24 00:00:00+08:00,16.100000,16.100000,16.100000,15.890000,500,0.000000,0.000000,0.000000
2024-01-25 00:00:00+08:00,15.690000,15.690000,15.690000,15.690000,0,0.000000,0.000000,0.000000
2024-01-26 00:00:00+08:00,16.740000,16.740000,15.590000,15.590000,4540,0.000000,0.000000,0.000000
2024-01-29 00:00:00+08:00,15.720000,15.720000,15.720000,15.720000,0,0.000000,0.000000,0.000000
2024-01-30 00:00:00+08:00,15.770000,15.770000,15.770000,16.020000,300,0.000000,0.000000,0.000000
2024-01-31 00:00:00+08:00,16.020000,16.020000,16.020000,16.160000,15,0.000000,0.000000,0.000000
2024-02-01 00:00:00+08:00,16.139999,16.139999,16.139999,16.139999,0,0.000000,0.000000,0.000000
2024-02-02 00:00:00+08:00,16.320000,16.320000,16.320000,16.320000,0,0.000000,0.000000,0.000000
2024-02-05 00:00:00+08:00,16.160000,16.160000,16.160000,16.160000,0,0.000000,0.000000,0.000000
2024-02-06 00:00:00+08:00,16.160000,16.160000,16.160000,16.230000,10,0.000000,0.000000,0.000000
2024-02-07 00:00:00+08:00,16.350000,16.350000,16.350000,16.350000,0,0.000000,0.000000,0.000000
2024-02-08 00:00:00+08:00,16.180000,16.330000,16.180000,16.430000,590,0.000000,0.000000,0.000000
2024-02-09 00:00:00+08:00,16.340000,16.340000,16.340000,16.400000,25,0.000000,0.000000,0.000000
2024-02-13 00:00:00+08:00,16.799999,16.799999,16.590000,16.590000,6100,0.000000,0.000000,0.000000
2024-02-14 00:00:00+08:00,16.510000,16.510000,16.510000,16.500000,22,0.000000,0.000000,0.000000
2024-02-15 00:00:00+08:00,16.889999,16.889999,16.889999,16.889999,0,0.000000,0.000000,0.000000
2024-02-16 00:00:00+08:00,17.000000,17.000000,17.000000,16.889999,1000,0.000000,0.000000,0.000000
2024-02-19 00:00:00+08:00,16.780001,16.799999,16.780001,16.770000,75,0.000000,0.000000,0.000000
2024-02-20 00:00:00+08:00,16.930000,16.930000,16.930000,16.889999,650,0.000000,0.000000,0.000000
2024-02-21 00:00:00+08:00,16.730000,16.730000,16.730000,16.730000,0,0.000000,0.000000,0.000000
2024-02-22 00:00:00+08:00,16.830000,16.830000,16.830000,16.830000,0,0.000000,0.000000,0.000000
2024-02-23 00:00:00+08:00,16.900000,16.900000,16.900000,16.620001,100,0.000000,0.000000,0.000000
2024-02-26 00:00:00+08:00,17.000000,17.000000,17.000000,16.600000,3,0.000000,0.000000,0.000000
2024-02-27 00:00:00+08:00,16.620001,16.620001,16.620001,16.620001,0,0.000000,0.000000,0.000000
2024-02-28 00:00:00+08:00,16.600000,16.600000,16.600000,16.600000,0,0.000000,0.000000,0.000000
2024-02-29 00:00:00+08:00,16.600000,16.600000,16.600000,16.540001,300,0.000000,0.000000,0.000000
2024-03-01 00:00:00+08:00,16.450001,16.450001,16.450001,16.450001,0,0.000000,0.000000,0.000000
2024-03-04 00:00:00+08:00,16.350000,16.350000,16.350000,16.350000,0,0.000000,0.000000,0.000000
2024-03-05 00:00:00+08:00,16.370001,16.370001,16.370001,16.320000,15000,0.000000,0.000000,0.000000
2024-03-06 00:00:00+08:00,16.520000,16.520000,16.420000,16.500000,168,0.000000,0.000000,0.000000
2024-03-07 00:00:00+08:00,16.750000,16.750000,16.750000,16.750000,0,0.000000,0.000000,0.000000
2024-03-08 00:00:00+08:00,16.910000,16.910000,16.910000,16.910000,0,0.000000,0.000000,0.000000
2024-03-11 00:00:00+08:00,16.950001,16.950001,16.950001,16.950001,0,0.000000,0.000000,0.000000
2024-03-12 00:00:00+08:00,17.020000,17.020000,16.879999,16.980000,1655,0.000000,0.000000,0.000000
2024-03-13 00:00:00+08:00,17.010000,17.010000,17.010000,17.010000,45,0.000000,0.000000,0.000000
2024-03-14 00:00:00+08:00,17.070000,17.070000,17.070000,17.070000,0,0.000000,0.000000,0.000000
2024-03-15 00:00:00+08:00,16.840000,16.840000,16.840000,16.840000,0,0.000000,0.000000,0.000000
