Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-04-17 00:00:00+08:00,2.226627,2.541902,2.226627,2.522197,16947200,0.000000,0.000000
2006-04-18 00:00:00+08:00,2.541902,2.778358,2.463083,2.679834,9728000,0.000000,0.000000
2006-04-19 00:00:00+08:00,2.738949,2.758653,2.601016,2.660130,3437800,0.000000,0.000000
2006-04-20 00:00:00+08:00,2.679835,2.719244,2.601016,2.620721,1268200,0.000000,0.000000
2006-04-21 00:00:00+08:00,2.620721,2.679835,2.561607,2.620721,1421400,0.000000,0.000000
2006-04-24 00:00:00+08:00,2.620720,2.778358,2.601016,2.679834,3947800,0.000000,0.000000
2006-04-25 00:00:00+08:00,2.699539,2.935995,2.699539,2.798063,6921400,0.000000,0.000000
2006-04-26 00:00:00+08:00,2.817767,3.014814,2.778358,3.014814,4965800,0.000000,0.000000
2006-04-27 00:00:00+08:00,3.054223,3.172451,3.014814,3.054223,4346400,0.000000,0.000000
2006-04-28 00:00:00+08:00,3.054223,3.073928,2.876881,2.935995,2513200,0.000000,0.000000
2006-05-01 00:00:00+08:00,2.935995,2.935995,2.935995,2.935995,0,0.000000,0.000000
2006-05-02 00:00:00+08:00,2.955700,2.975405,2.837472,2.857177,771800,0.000000,0.000000
2006-05-03 00:00:00+08:00,2.857176,2.935995,2.857176,2.935995,954200,0.000000,0.000000
2006-05-04 00:00:00+08:00,2.955700,3.054224,2.876882,2.975405,3285400,0.000000,0.000000
2006-05-05 00:00:00+08:00,2.995109,3.014814,2.876882,2.876882,1226000,0.000000,0.000000
2006-05-08 00:00:00+08:00,2.935995,2.935995,2.798063,2.798063,669600,0.000000,0.000000
2006-05-09 00:00:00+08:00,2.817767,2.896586,2.817767,2.817767,643400,0.000000,0.000000
2006-05-10 00:00:00+08:00,2.857177,2.995110,2.837472,2.975405,2459000,0.000000,0.000000
2006-05-11 00:00:00+08:00,2.995109,3.073928,2.975405,2.995109,2022000,0.000000,0.000000
2006-05-12 00:00:00+08:00,2.995109,2.995109,2.995109,2.995109,0,0.000000,0.000000
2006-05-15 00:00:00+08:00,2.955700,2.955700,2.837472,2.837472,1103000,0.000000,0.000000
2006-05-16 00:00:00+08:00,2.857177,2.876881,2.502493,2.640425,1451000,0.000000,0.000000
2006-05-17 00:00:00+08:00,2.660130,2.758653,2.640425,2.719244,641400,0.000000,0.000000
2006-05-18 00:00:00+08:00,2.561606,2.581311,2.482788,2.561606,827400,0.000000,0.000000
2006-05-19 00:00:00+08:00,2.561606,2.660130,2.561606,2.581311,832600,0.000000,0.000000
2006-05-22 00:00:00+08:00,2.620721,2.640425,1.871943,1.931057,1816800,0.000000,0.000000
2006-05-23 00:00:00+08:00,1.970467,2.206923,1.891648,2.187218,1873800,0.000000,0.000000
2006-05-24 00:00:00+08:00,2.187218,2.206922,2.068990,2.108399,664000,0.000000,0.000000
2006-05-25 00:00:00+08:00,2.108399,2.147809,1.911353,1.931057,869200,0.000000,0.000000
2006-05-26 00:00:00+08:00,2.049285,2.068990,1.970466,1.970466,671400,0.000000,0.000000
2006-05-29 00:00:00+08:00,1.990171,1.990171,1.832534,1.832534,423800,0.000000,0.000000
2006-05-30 00:00:00+08:00,1.832534,2.009876,1.832534,1.911353,1287000,0.000000,0.000000
2006-05-31 00:00:00+08:00,1.832534,1.891648,1.832534,1.891648,323800,0.000000,0.000000
2006-06-01 00:00:00+08:00,1.950762,1.970466,1.852238,1.852238,368000,0.000000,0.000000
2006-06-02 00:00:00+08:00,1.891648,1.931057,1.871943,1.931057,293000,0.000000,0.000000
2006-06-05 00:00:00+08:00,1.931057,1.931057,1.832534,1.832534,205400,0.000000,0.000000
2006-06-06 00:00:00+08:00,1.793125,1.832534,1.753715,1.812829,424600,0.000000,0.000000
2006-06-07 00:00:00+08:00,1.753715,1.793125,1.734011,1.734011,221600,0.000000,0.000000
2006-06-08 00:00:00+08:00,1.694601,1.694601,1.517259,1.536964,502000,0.000000,0.000000
2006-06-09 00:00:00+08:00,1.576373,1.615783,1.497555,1.615783,236000,0.000000,0.000000
2006-06-12 00:00:00+08:00,1.576373,1.615783,1.517259,1.596078,198600,0.000000,0.000000
2006-06-13 00:00:00+08:00,1.556669,1.556669,1.517259,1.536964,169600,0.000000,0.000000
2006-06-14 00:00:00+08:00,1.556669,1.615783,1.556669,1.596078,225000,0.000000,0.000000
2006-06-15 00:00:00+08:00,1.615783,1.773420,1.615783,1.773420,752400,0.000000,0.000000
2006-06-16 00:00:00+08:00,1.852238,1.931057,1.832534,1.852238,548200,0.000000,0.000000
2006-06-19 00:00:00+08:00,1.852238,1.891648,1.812829,1.852238,156600,0.000000,0.000000
2006-06-20 00:00:00+08:00,1.871943,2.009876,1.852238,2.009876,792200,0.000000,0.000000
2006-06-21 00:00:00+08:00,2.049285,2.206923,2.029581,2.167513,1824800,0.000000,0.000000
2006-06-22 00:00:00+08:00,2.246332,2.305446,2.187218,2.206923,1113000,0.000000,0.000000
2006-06-23 00:00:00+08:00,2.206923,2.325151,2.068990,2.285741,1129200,0.000000,0.000000
2006-06-26 00:00:00+08:00,2.305446,2.344855,2.305446,2.325151,450200,0.000000,0.000000
2006-06-27 00:00:00+08:00,2.364560,2.364560,2.246332,2.246332,372400,0.000000,0.000000
2006-06-28 00:00:00+08:00,2.167513,2.305446,2.167513,2.266037,240200,0.000000,0.000000
2006-06-29 00:00:00+08:00,2.285741,2.305446,2.226627,2.246332,430200,0.000000,0.000000
2006-06-30 00:00:00+08:00,2.325151,2.325151,2.266037,2.266037,708600,0.000000,0.000000
2006-07-03 00:00:00+08:00,2.266037,2.285741,2.246332,2.285741,176600,0.000000,0.000000
2006-07-04 00:00:00+08:00,2.285741,2.482788,2.285741,2.463083,1412600,0.000000,0.000000
2006-07-05 00:00:00+08:00,2.561607,2.876881,2.502493,2.817767,5900400,0.000000,0.000000
2006-07-06 00:00:00+08:00,2.896586,3.093633,2.896586,3.034518,7749400,0.000000,0.000000
2006-07-07 00:00:00+08:00,3.034519,3.054223,2.935995,2.955700,991000,0.000000,0.000000
2006-07-10 00:00:00+08:00,2.935995,2.995109,2.876881,2.955700,722400,0.000000,0.000000
2006-07-11 00:00:00+08:00,2.935995,2.975405,2.817767,2.837472,725400,0.000000,0.000000
2006-07-12 00:00:00+08:00,2.857177,2.876881,2.719244,2.758653,1328000,0.000000,0.000000
2006-07-13 00:00:00+08:00,2.719244,2.817767,2.581311,2.601016,1305600,0.000000,0.000000
2006-07-14 00:00:00+08:00,2.541902,2.541902,2.325151,2.403969,1711200,0.000000,0.000000
2006-07-17 00:00:00+08:00,2.325151,2.325151,2.206923,2.226627,1036800,0.000000,0.000000
2006-07-18 00:00:00+08:00,2.226627,2.403969,2.226627,2.325151,1154400,0.000000,0.000000
2006-07-19 00:00:00+08:00,2.384265,2.502492,2.384265,2.423674,1825600,0.000000,0.000000
2006-07-20 00:00:00+08:00,2.541902,2.561606,2.482788,2.482788,1566800,0.000000,0.000000
2006-07-21 00:00:00+08:00,2.423674,2.463083,2.403969,2.403969,808400,0.000000,0.000000
2006-07-24 00:00:00+08:00,2.403969,2.758653,2.384264,2.738948,2946800,0.000000,0.000000
2006-07-25 00:00:00+08:00,2.857177,2.916291,2.660130,2.699539,4138600,0.000000,0.000000
2006-07-26 00:00:00+08:00,2.719244,2.817768,2.719244,2.798063,1721800,0.000000,0.000000
2006-07-27 00:00:00+08:00,2.798063,2.876881,2.758653,2.817767,1738200,0.000000,0.000000
2006-07-28 00:00:00+08:00,2.817767,2.817767,2.738948,2.738948,806400,0.000000,0.000000
2006-07-31 00:00:00+08:00,2.798063,2.817767,2.699539,2.719244,690800,0.000000,0.000000
2006-08-01 00:00:00+08:00,2.719244,2.778358,2.699539,2.758653,953200,0.000000,0.000000
2006-08-02 00:00:00+08:00,2.758653,2.837472,2.738949,2.817767,1594800,0.000000,0.000000
2006-08-03 00:00:00+08:00,2.857176,2.857176,2.738948,2.738948,662000,0.000000,0.000000
2006-08-04 00:00:00+08:00,2.758653,2.778358,2.699539,2.699539,603800,0.000000,0.000000
2006-08-07 00:00:00+08:00,2.738948,2.758653,2.660130,2.679834,589400,0.000000,0.000000
2006-08-08 00:00:00+08:00,2.699539,2.738948,2.679834,2.679834,761800,0.000000,0.000000
2006-08-09 00:00:00+08:00,2.679834,2.679834,2.679834,2.679834,0,0.000000,0.000000
2006-08-10 00:00:00+08:00,2.699539,2.719244,2.541902,2.541902,800600,0.000000,0.000000
2006-08-11 00:00:00+08:00,2.581312,2.640425,2.541902,2.620721,727400,0.000000,0.000000
2006-08-14 00:00:00+08:00,2.660130,2.699539,2.660130,2.679834,667800,0.000000,0.000000
2006-08-15 00:00:00+08:00,2.699539,2.699539,2.601016,2.620721,229400,0.000000,0.000000
2006-08-16 00:00:00+08:00,2.660130,2.699539,2.660130,2.660130,638800,0.000000,0.000000
2006-08-17 00:00:00+08:00,2.679834,2.798062,2.679834,2.738948,1465800,0.000000,0.000000
2006-08-18 00:00:00+08:00,2.758653,2.798062,2.719244,2.738948,412400,0.000000,0.000000
2006-08-21 00:00:00+08:00,2.758653,2.817767,2.719244,2.758653,779400,0.000000,0.000000
2006-08-22 00:00:00+08:00,2.798063,2.798063,2.758653,2.778358,451400,0.000000,0.000000
2006-08-23 00:00:00+08:00,2.798063,2.798063,2.758653,2.778358,214800,0.000000,0.000000
2006-08-24 00:00:00+08:00,2.758653,2.916291,2.758653,2.817767,1924400,0.000000,0.000000
2006-08-25 00:00:00+08:00,2.837472,2.857177,2.699539,2.758653,598000,0.000000,0.000000
2006-08-28 00:00:00+08:00,2.778358,2.778358,2.719244,2.758653,217200,0.000000,0.000000
2006-08-29 00:00:00+08:00,2.738948,2.798062,2.719244,2.738948,629600,0.000000,0.000000
2006-08-30 00:00:00+08:00,2.758653,2.778358,2.719244,2.719244,196400,0.000000,0.000000
2006-08-31 00:00:00+08:00,2.719244,2.738948,2.679834,2.679834,529800,0.000000,0.000000
2006-09-01 00:00:00+08:00,2.699539,2.719244,2.660130,2.660130,319400,0.000000,0.000000
2006-09-04 00:00:00+08:00,2.679835,2.699539,2.620721,2.660130,290400,0.000000,0.000000
2006-09-05 00:00:00+08:00,2.660130,2.699539,2.660130,2.660130,267000,0.000000,0.000000
2006-09-06 00:00:00+08:00,2.660130,2.660130,2.620721,2.620721,164400,0.000000,0.000000
2006-09-07 00:00:00+08:00,2.601016,2.620720,2.581311,2.601016,318000,0.000000,0.000000
2006-09-08 00:00:00+08:00,2.581311,2.640425,2.581311,2.601016,237600,0.000000,0.000000
2006-09-11 00:00:00+08:00,2.620720,2.640425,2.561606,2.561606,275000,0.000000,0.000000
2006-09-12 00:00:00+08:00,2.581311,2.581311,2.502493,2.502493,356400,0.000000,0.000000
2006-09-13 00:00:00+08:00,2.541901,2.581311,2.522197,2.561606,253800,0.000000,0.000000
2006-09-14 00:00:00+08:00,2.581311,2.601016,2.502493,2.502493,144200,0.000000,0.000000
2006-09-15 00:00:00+08:00,2.502493,2.541902,2.502493,2.522197,148000,0.000000,0.000000
2006-09-18 00:00:00+08:00,2.502493,2.581312,2.502493,2.541902,185600,0.000000,0.000000
2006-09-19 00:00:00+08:00,2.561607,2.561607,2.187218,2.463083,2550400,0.000000,0.000000
2006-09-20 00:00:00+08:00,2.443379,2.463083,2.423674,2.443379,205000,0.000000,0.000000
2006-09-21 00:00:00+08:00,2.463083,2.640425,2.463083,2.601016,981400,0.000000,0.000000
2006-09-22 00:00:00+08:00,2.601016,2.640425,2.561607,2.640425,295400,0.000000,0.000000
2006-09-25 00:00:00+08:00,2.620721,2.620721,2.502493,2.502493,280200,0.000000,0.000000
2006-09-26 00:00:00+08:00,2.502493,2.541902,2.463083,2.463083,186000,0.000000,0.000000
2006-09-27 00:00:00+08:00,2.502493,2.522197,2.482788,2.522197,161600,0.000000,0.000000
