Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2000-01-03 00:00:00+08:00,0.289394,0.292505,0.273835,0.276946,452000,0.000000,0.000000,0.276946
2000-01-04 00:00:00+08:00,0.273835,0.273835,0.267611,0.270723,175000,0.000000,0.000000,0.270738
2000-01-05 00:00:00+08:00,0.267611,0.267611,0.261388,0.267611,480000,0.000000,0.000000,0.267641
2000-01-06 00:00:00+08:00,0.267611,0.273835,0.261388,0.273835,424000,0.000000,0.000000,0.273880
2000-01-07 00:00:00+08:00,0.261388,0.273835,0.261388,0.261388,130000,0.000000,0.000000,0.261449
2000-01-10 00:00:00+08:00,0.261388,0.261388,0.248941,0.252052,171000,0.000000,0.000000,0.252128
2000-01-11 00:00:00+08:00,0.252052,0.252052,0.248941,0.252052,59000,0.000000,0.000000,0.252143
2000-01-12 00:00:00+08:00,0.248941,0.264499,0.248941,0.252052,184000,0.000000,0.000000,0.252158
2000-01-13 00:00:00+08:00,0.245829,0.248941,0.236494,0.248941,72000,0.000000,0.000000,0.249062
2000-01-14 00:00:00+08:00,0.255164,0.255164,0.248941,0.248941,43000,0.000000,0.000000,0.249077
2000-01-17 00:00:00+08:00,0.248941,0.264499,0.248941,0.252052,171000,0.000000,0.000000,0.252204
2000-01-18 00:00:00+08:00,0.258276,0.258276,0.255164,0.255164,117000,0.000000,0.000000,0.255331
2000-01-19 00:00:00+08:00,0.252052,0.252052,0.248941,0.248941,84000,0.000000,0.000000,0.249123
2000-01-20 00:00:00+08:00,0.248941,0.255164,0.248941,0.252052,301000,0.000000,0.000000,0.252249
2000-01-21 00:00:00+08:00,0.255164,0.258276,0.255164,0.258276,185000,0.000000,0.000000,0.258488
2000-01-24 00:00:00+08:00,0.270723,0.270723,0.242717,0.242717,69000,0.000000,0.000000,0.242944
2000-01-25 00:00:00+08:00,0.248941,0.248941,0.236494,0.236494,50000,0.000000,0.000000,0.236736
2000-01-26 00:00:00+08:00,0.252052,0.252052,0.248941,0.252052,21000,0.000000,0.000000,0.252310
2000-01-27 00:00:00+08:00,0.255164,0.267611,0.255164,0.261388,258000,0.000000,0.000000,0.261661
2000-01-28 00:00:00+08:00,0.280058,0.286282,0.261388,0.261388,78000,0.000000,0.000000,0.261676
2000-01-31 00:00:00+08:00,0.261388,0.264499,0.255164,0.258276,366000,0.000000,0.000000,0.258579
2000-02-01 00:00:00+08:00,0.261388,0.261388,0.261388,0.261388,46000,0.000000,0.000000,0.261706
2000-02-02 00:00:00+08:00,0.261388,0.261388,0.261388,0.261388,20000,0.000000,0.000000,0.261721
2000-02-03 00:00:00+08:00,0.264499,0.264499,0.248941,0.248941,27000,0.000000,0.000000,0.249289
2000-02-04 00:00:00+08:00,0.261388,0.261388,0.252052,0.252052,45000,0.000000,0.000000,0.252416
2000-02-07 00:00:00+08:00,0.252052,0.252052,0.252052,0.252052,0,0.000000,0.000000,0.252431
2000-02-08 00:00:00+08:00,0.267611,0.267611,0.242717,0.267611,133000,0.000000,0.000000,0.268005
2000-02-09 00:00:00+08:00,0.267611,0.280058,0.267611,0.267611,88000,0.000000,0.000000,0.268020
2000-02-10 00:00:00+08:00,0.261388,0.261388,0.261388,0.261388,2000,0.000000,0.000000,0.261812
2000-02-11 00:00:00+08:00,0.267611,0.267611,0.267611,0.267611,2000,0.000000,0.000000,0.268050
2000-02-14 00:00:00+08:00,0.248941,0.248941,0.248941,0.248941,4000,0.000000,0.000000,0.249396
2000-02-15 00:00:00+08:00,0.264499,0.267611,0.252052,0.252052,291000,0.000000,0.000000,0.252522
2000-02-16 00:00:00+08:00,0.264499,0.264499,0.252052,0.252052,15000,0.000000,0.000000,0.252537
2000-02-17 00:00:00+08:00,0.261388,0.270723,0.261388,0.267611,18000,0.000000,0.000000,0.268111
2000-02-18 00:00:00+08:00,0.267611,0.273835,0.264499,0.267611,52000,0.000000,0.000000,0.268126
2000-02-21 00:00:00+08:00,0.258276,0.264499,0.258276,0.261388,31000,0.000000,0.000000,0.261918
2000-02-22 00:00:00+08:00,0.255164,0.255164,0.248941,0.248941,29000,0.000000,0.000000,0.249486
2000-02-23 00:00:00+08:00,0.248941,0.248941,0.248941,0.248941,125000,0.000000,0.000000,0.249502
2000-02-24 00:00:00+08:00,0.245829,0.245829,0.230270,0.230270,231000,0.000000,0.000000,0.230846
2000-02-25 00:00:00+08:00,0.248941,0.264499,0.233382,0.242717,41000,0.000000,0.000000,0.243308
2000-02-28 00:00:00+08:00,0.239605,0.245829,0.239605,0.242717,56000,0.000000,0.000000,0.243323
2000-02-29 00:00:00+08:00,0.236494,0.245829,0.236494,0.239605,42000,0.000000,0.000000,0.240226
2000-03-01 00:00:00+08:00,0.236494,0.248941,0.236494,0.236494,64000,0.000000,0.000000,0.237130
2000-03-02 00:00:00+08:00,0.239605,0.239605,0.230270,0.239605,39000,0.000000,0.000000,0.240257
