Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-25 00:00:00+08:00,4.250000,5.350000,3.900000,5.250000,6114800,0.000000,0.000000
2011-10-27 00:00:00+08:00,5.300000,5.600000,5.250000,5.300000,11240100,0.000000,0.000000
2011-10-28 00:00:00+08:00,5.300000,5.400000,4.250000,4.600000,7307200,0.000000,0.000000
2011-10-31 00:00:00+08:00,4.350000,4.800000,4.200000,4.750000,2126000,0.000000,0.000000
2011-11-01 00:00:00+08:00,4.600000,4.850000,4.600000,4.800000,1079500,0.000000,0.000000
2011-11-02 00:00:00+08:00,4.650000,5.000000,4.600000,5.000000,2253300,0.000000,0.000000
2011-11-03 00:00:00+08:00,4.900000,5.000000,4.650000,4.650000,1835900,0.000000,0.000000
2011-11-04 00:00:00+08:00,4.750000,4.750000,4.300000,4.300000,807900,0.000000,0.000000
2011-11-08 00:00:00+08:00,4.350000,4.450000,4.250000,4.300000,372000,0.000000,0.000000
2011-11-09 00:00:00+08:00,4.350000,4.650000,4.300000,4.600000,1563500,0.000000,0.000000
2011-11-10 00:00:00+08:00,4.300000,4.550000,4.300000,4.550000,702800,0.000000,0.000000
2011-11-11 00:00:00+08:00,4.550000,4.650000,4.350000,4.350000,713200,0.000000,0.000000
2011-11-14 00:00:00+08:00,4.400000,4.500000,4.150000,4.150000,607100,0.000000,0.000000
2011-11-15 00:00:00+08:00,4.250000,4.250000,3.950000,4.050000,191500,0.000000,0.000000
2011-11-16 00:00:00+08:00,4.100000,4.150000,3.800000,3.800000,555400,0.000000,0.000000
2011-11-17 00:00:00+08:00,3.800000,4.100000,3.700000,3.850000,1785200,0.000000,0.000000
2011-11-18 00:00:00+08:00,3.800000,3.950000,3.700000,3.700000,583600,0.000000,0.000000
2011-11-21 00:00:00+08:00,3.750000,3.750000,3.200000,3.400000,354400,0.000000,0.000000
2011-11-22 00:00:00+08:00,3.300000,3.400000,3.150000,3.200000,470000,0.000000,0.000000
2011-11-23 00:00:00+08:00,3.150000,3.150000,2.600000,2.950000,833500,0.000000,0.000000
2011-11-24 00:00:00+08:00,2.900000,3.150000,2.850000,3.100000,1418100,0.000000,0.000000
2011-11-25 00:00:00+08:00,3.100000,3.200000,3.000000,3.100000,734200,0.000000,0.000000
2011-11-28 00:00:00+08:00,3.200000,3.250000,3.100000,3.150000,625700,0.000000,0.000000
2011-11-29 00:00:00+08:00,3.200000,3.650000,3.200000,3.600000,2153200,0.000000,0.000000
2011-11-30 00:00:00+08:00,3.650000,3.900000,3.600000,3.800000,975200,0.000000,0.000000
2011-12-01 00:00:00+08:00,4.000000,4.150000,3.900000,3.950000,2161300,0.000000,0.000000
2011-12-02 00:00:00+08:00,3.950000,4.000000,3.750000,4.000000,453200,0.000000,0.000000
2011-12-05 00:00:00+08:00,4.000000,4.150000,3.900000,4.050000,686400,0.000000,0.000000
2011-12-06 00:00:00+08:00,4.000000,4.000000,3.900000,4.000000,336000,0.000000,0.000000
2011-12-07 00:00:00+08:00,4.000000,4.100000,3.950000,3.950000,410600,0.000000,0.000000
2011-12-08 00:00:00+08:00,3.900000,3.900000,3.800000,3.800000,169800,0.000000,0.000000
2011-12-09 00:00:00+08:00,3.750000,3.800000,3.700000,3.800000,210600,0.000000,0.000000
2011-12-12 00:00:00+08:00,3.850000,3.850000,3.750000,3.800000,167200,0.000000,0.000000
2011-12-13 00:00:00+08:00,3.800000,3.850000,3.750000,3.800000,227200,0.000000,0.000000
2011-12-14 00:00:00+08:00,3.800000,3.850000,3.750000,3.750000,112500,0.000000,0.000000
2011-12-20 00:00:00+08:00,4.000000,4.100000,3.800000,3.900000,704400,0.000000,0.000000
