Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2021-09-20 00:00:00+08:00,2.791141,2.857371,2.753295,2.791141,25943424,0.000000,0.000000,2.791141
2021-09-21 00:00:00+08:00,2.791140,3.074985,2.743832,2.989831,43539881,0.000000,0.000000,2.990022
2021-09-22 00:00:00+08:00,2.999293,3.122292,2.999293,3.084446,30913804,0.000000,0.000000,3.084828
2021-09-23 00:00:00+08:00,3.122292,3.273676,3.112831,3.216907,26224281,0.000000,0.000000,3.217480
2021-09-24 00:00:00+08:00,3.302061,3.320984,3.122292,3.122292,40171423,0.000000,0.000000,3.123056
2021-09-27 00:00:00+08:00,3.160138,3.339907,3.150677,3.339907,37457554,0.000000,0.000000,3.340862
2021-09-28 00:00:00+08:00,3.311522,3.349368,3.283138,3.330446,23195819,0.000000,0.000000,3.331592
2021-09-29 00:00:00+08:00,3.311522,3.349368,3.292600,3.330446,12090476,0.000000,0.000000,3.331784
2021-09-30 00:00:00+08:00,3.339907,3.349368,3.216907,3.216907,13393963,0.000000,0.000000,3.218436
2021-10-01 00:00:00+08:00,3.188523,3.207446,3.131754,3.160138,10307683,0.000000,0.000000,3.161858
2021-10-04 00:00:00+08:00,3.207446,3.292600,3.188523,3.235831,11930233,0.000000,0.000000,3.237742
2021-10-05 00:00:00+08:00,3.226369,3.254753,3.169600,3.216907,12696900,0.000000,0.000000,3.219009
2021-10-06 00:00:00+08:00,3.245292,3.254753,3.197985,3.207446,8628738,0.000000,0.000000,3.209739
2021-10-07 00:00:00+08:00,3.254753,3.283138,3.216907,3.216907,11130237,0.000000,0.000000,3.219391
2021-10-08 00:00:00+08:00,3.235831,3.245292,3.160138,3.207446,10433073,0.000000,0.000000,3.210121
2021-10-11 00:00:00+08:00,3.216907,3.226369,3.169600,3.169600,12332009,0.000000,0.000000,3.172466
2021-10-12 00:00:00+08:00,3.188523,3.197985,3.150677,3.197985,8383039,0.000000,0.000000,3.201042
2021-10-13 00:00:00+08:00,3.188523,3.264215,3.169600,3.245292,10110758,0.000000,0.000000,3.248540
2021-10-14 00:00:00+08:00,3.254753,3.273676,3.226369,3.254753,4320262,0.000000,0.000000,3.258192
2021-10-15 00:00:00+08:00,3.264215,3.273676,3.226369,3.226369,4408869,0.000000,0.000000,3.230000
2021-10-18 00:00:00+08:00,3.235831,3.235831,3.179061,3.188523,6998974,0.000000,0.000000,3.192345
2021-10-19 00:00:00+08:00,3.216907,3.245292,3.197985,3.245292,3643319,0.000000,0.000000,3.249305
2021-10-20 00:00:00+08:00,3.254753,3.254753,3.216907,3.235831,4134718,0.000000,0.000000,3.240035
2021-10-21 00:00:00+08:00,3.207446,3.235831,3.188523,3.197985,2581264,0.000000,0.000000,3.202380
2021-10-22 00:00:00+08:00,3.207446,3.216907,3.188523,3.207446,3053966,0.000000,0.000000,3.212032
2021-10-25 00:00:00+08:00,3.207446,3.245292,3.188523,3.235831,5149015,0.000000,0.000000,3.240608
2021-10-26 00:00:00+08:00,3.235831,3.245292,3.207446,3.216907,5933667,0.000000,0.000000,3.221875
2021-10-27 00:00:00+08:00,3.235831,3.273676,3.207446,3.245292,11132270,0.000000,0.000000,3.250451
2021-10-28 00:00:00+08:00,3.254753,3.302061,3.245292,3.302061,12170750,0.000000,0.000000,3.307411
2021-10-29 00:00:00+08:00,3.302061,3.425061,3.254753,3.254753,33704188,0.000000,0.000000,3.260294
2021-11-01 00:00:00+08:00,3.283138,3.302061,3.235831,3.273676,8320954,0.000000,0.000000,3.279408
2021-11-02 00:00:00+08:00,3.292600,3.292600,3.245292,3.245292,3456047,0.000000,0.000000,3.251216
