Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2000-12-18 00:00:00+08:00,3.505687,3.813203,3.505687,3.690197,892242,0.000000,0.000000,4.630397
2000-12-19 00:00:00+08:00,3.690197,3.690197,3.505687,3.567190,166201,0.000000,0.000000,4.507390
2000-12-20 00:00:00+08:00,3.505687,3.567190,3.505687,3.567190,75330,0.000000,0.000000,4.507390
2000-12-21 00:00:00+08:00,3.444184,3.997713,3.444184,3.936210,403632,0.000000,0.000000,4.876410
2000-12-22 00:00:00+08:00,4.059216,4.489739,3.997713,4.366733,616857,0.000000,0.000000,5.306933
2000-12-25 00:00:00+08:00,4.366733,4.366733,4.366733,4.366733,0,0.000000,0.000000,5.306933
2000-12-26 00:00:00+08:00,4.489739,4.612746,4.428236,4.612746,220042,0.000000,0.000000,5.552946
2000-12-27 00:00:00+08:00,4.612746,4.612746,4.612746,4.612746,0,0.000000,0.000000,5.552946
2000-12-28 00:00:00+08:00,4.612746,4.735753,4.428236,4.551243,256783,0.000000,0.000000,5.491443
2000-12-29 00:00:00+08:00,4.489739,4.612746,4.428236,4.612746,87000,0.000000,0.000000,5.552946
2001-01-01 00:00:00+08:00,4.612746,4.612746,4.612746,4.612746,0,0.000000,0.000000,5.552946
2001-01-02 00:00:00+08:00,4.551243,4.674249,4.551243,4.674249,209701,0.000000,0.000000,5.614449
2001-01-03 00:00:00+08:00,4.551243,4.797256,4.489739,4.735753,221024,0.000000,0.000000,5.675953
2001-01-04 00:00:00+08:00,4.981766,5.043269,4.797256,4.858759,257707,0.000000,0.000000,5.798959
2001-01-05 00:00:00+08:00,4.858759,4.920262,4.674249,4.797256,117848,0.000000,0.000000,5.737456
2001-01-08 00:00:00+08:00,4.735753,5.166276,4.735753,5.166276,523791,0.000000,0.000000,6.106476
2001-01-09 00:00:00+08:00,5.166276,5.289283,5.043270,5.166276,319693,0.000000,0.000000,6.106476
2001-01-10 00:00:00+08:00,5.043269,5.473792,5.043269,5.473792,572201,0.000000,0.000000,6.413992
2001-01-11 00:00:00+08:00,5.535294,5.658302,5.350786,5.412288,469604,0.000000,0.000000,6.352488
2001-01-12 00:00:00+08:00,5.412288,5.535294,5.166275,5.227778,216171,0.000000,0.000000,6.167978
