Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.430000,0.470000,0.420000,0.450000,0.216078,413000
2000-01-04,0.450000,0.470000,0.450000,0.450000,0.216078,456000
2000-01-05,0.420000,0.420000,0.410000,0.420000,0.201673,134000
2000-01-06,0.425000,0.425000,0.405000,0.415000,0.199272,134000
2000-01-07,0.405000,0.425000,0.405000,0.425000,0.204074,31000
2000-01-10,0.440000,0.440000,0.415000,0.415000,0.199272,52000
2000-01-11,0.410000,0.410000,0.395000,0.395000,0.189669,261000
2000-01-12,0.395000,0.400000,0.395000,0.400000,0.192070,163000
2000-01-13,0.405000,0.405000,0.395000,0.400000,0.192070,60000
2000-01-14,0.395000,0.410000,0.395000,0.410000,0.196872,8000
2000-01-17,0.410000,0.410000,0.400000,0.400000,0.192070,23000
2000-01-18,0.400000,0.400000,0.395000,0.395000,0.189669,24000
2000-01-19,0.395000,0.395000,0.385000,0.385000,0.184867,68000
2000-01-20,0.395000,0.395000,0.390000,0.390000,0.187268,43000
2000-01-21,0.390000,0.390000,0.385000,0.390000,0.187268,22000
2000-01-24,0.390000,0.390000,0.390000,0.390000,0.187268,0
2000-01-25,0.380000,0.390000,0.380000,0.390000,0.187268,19000
2000-01-26,0.385000,0.390000,0.385000,0.390000,0.187268,15000
2000-01-27,0.380000,0.380000,0.380000,0.380000,0.182466,6000
2000-01-28,0.380000,0.390000,0.380000,0.390000,0.187268,9000
2000-01-31,0.380000,0.380000,0.380000,0.380000,0.182466,4000
2000-02-01,0.380000,0.380000,0.375000,0.375000,0.180065,53000
2000-02-02,0.380000,0.380000,0.380000,0.380000,0.182466,31000
2000-02-03,0.390000,0.390000,0.390000,0.390000,0.187268,31000
2000-02-04,0.385000,0.390000,0.385000,0.385000,0.184867,16000
2000-02-07,0.385000,0.385000,0.385000,0.385000,0.184867,0
2000-02-08,0.380000,0.380000,0.370000,0.370000,0.177665,50000
2000-02-09,0.375000,0.380000,0.375000,0.380000,0.182466,105000
2000-02-10,0.370000,0.375000,0.370000,0.375000,0.180065,25000
2000-02-11,0.380000,0.380000,0.380000,0.380000,0.182466,16000
2000-02-14,0.370000,0.385000,0.370000,0.385000,0.184867,23000
2000-02-15,0.380000,0.380000,0.370000,0.370000,0.177665,23000
2000-02-16,0.375000,0.375000,0.375000,0.375000,0.180065,28000
2000-02-17,0.370000,0.390000,0.370000,0.380000,0.182466,120000
2000-02-18,0.385000,0.390000,0.375000,0.375000,0.180065,89000
2000-02-21,0.375000,0.375000,0.375000,0.375000,0.180065,0
2000-02-22,0.365000,0.365000,0.360000,0.365000,0.175264,33000
2000-02-23,0.365000,0.370000,0.365000,0.370000,0.177665,35000
2000-02-24,0.370000,0.370000,0.360000,0.360000,0.172863,47000
2000-02-25,0.365000,0.365000,0.360000,0.360000,0.172863,15000
2000-02-28,0.360000,0.365000,0.350000,0.355000,0.170462,38000
2000-02-29,0.355000,0.355000,0.355000,0.355000,0.170462,30000
2000-03-01,0.350000,0.350000,0.345000,0.350000,0.168061,62000
2000-03-02,0.350000,0.350000,0.340000,0.340000,0.163259,33000
2000-03-03,0.340000,0.340000,0.340000,0.340000,0.163259,0
2000-03-06,0.355000,0.425000,0.350000,0.350000,0.168061,1001000
2000-03-07,0.350000,0.360000,0.350000,0.350000,0.168061,447000
2000-03-08,0.370000,0.415000,0.355000,0.355000,0.170462,753000
2000-03-09,0.360000,0.360000,0.340000,0.340000,0.163259,46000
2000-03-10,0.350000,0.350000,0.345000,0.345000,0.165660,25000
2000-03-13,0.350000,0.350000,0.335000,0.335000,0.160858,21000
2000-03-14,0.330000,0.355000,0.325000,0.325000,0.156057,32000
2000-03-15,0.325000,0.325000,0.290000,0.300000,0.144052,40000
2000-03-16,0.300000,0.300000,0.300000,0.300000,0.144052,0
2000-03-17,0.305000,0.305000,0.300000,0.300000,0.144052,31000
2000-03-20,0.290000,0.295000,0.290000,0.295000,0.141651,23000
2000-03-21,0.310000,0.320000,0.310000,0.320000,0.153656,20000
2000-03-22,0.350000,0.350000,0.320000,0.320000,0.153656,25000
2000-03-23,0.325000,0.325000,0.325000,0.325000,0.156057,11000
2000-03-24,0.320000,0.320000,0.320000,0.320000,0.153656,3000
2000-03-27,0.350000,0.350000,0.320000,0.320000,0.153656,5000
2000-03-28,0.325000,0.325000,0.320000,0.320000,0.153656,35000
2000-03-29,0.320000,0.320000,0.320000,0.320000,0.153656,0
2000-03-30,0.320000,0.320000,0.320000,0.320000,0.153656,0
2000-03-31,0.300000,0.300000,0.300000,0.300000,0.144052,16000
2000-04-03,0.305000,0.305000,0.300000,0.300000,0.144052,23000
2000-04-04,0.300000,0.300000,0.300000,0.300000,0.144052,10000
2000-04-05,0.290000,0.290000,0.285000,0.290000,0.139251,37000
2000-04-06,0.290000,0.300000,0.290000,0.300000,0.144052,9000
2000-04-07,0.300000,0.300000,0.300000,0.300000,0.144052,2000
2000-04-10,0.295000,0.295000,0.295000,0.295000,0.141651,10000
2000-04-11,0.290000,0.300000,0.290000,0.295000,0.141651,118000
2000-04-12,0.295000,0.295000,0.290000,0.295000,0.141651,15000
2000-04-13,0.285000,0.300000,0.285000,0.300000,0.144052,21000
